#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
139777000 ; 0.00119058 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
139864000 ; 0.00136605 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
139957000 ; 0.00164834 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
140047000 ; 0.0016636 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
140135000 ; 0.00106469 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
140227000 ; 0.00132028 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
140312000 ; 0.00133935 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
140405000 ; 0.000927361 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
140497000 ; 0.00119439 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
140589000 ; 0.00122872 ; 3.3004 ; 0 ; 0 ; Unknown ; Unknown ; -1
140676000 ; 0.00142327 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
140764000 ; 0.00125161 ; 3.30009 ; 0 ; 0 ; Unknown ; Unknown ; -1
140854000 ; 0.00125543 ; 3.302 ; 0 ; 0 ; Unknown ; Unknown ; -1
140948000 ; 0.00124017 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
141041000 ; 0.000919732 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
141128000 ; 0.00157205 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
141218000 ; 0.000927361 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
141312000 ; 0.00191155 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
141404000 ; 0.000896844 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
141488000 ; 0.00280801 ; 3.30177 ; 0 ; 0 ; Unknown ; Unknown ; -1
141573000 ; 0.00150338 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
